institution,institution_type,statut,titre,description,type,pays,regions_ciblees,date_limite_candidature,date_debut,duree,remuneration,nombre_places,secteurs,criteres_eligibilite,contact_email_enrichi,lien_externe,origine_initiative
SHETRADES,CENTRE_FORMATION,Ouvert,SheTrades ITC,Formation e-commerce et commerce international pour femmes,FORMATION,Côte d'Ivoire,National,Continu,2025,Variable,Formation gratuite + accès marchés,Variable,COMMERCE;EDUCATION;IMPACT_SOCIAL,,,https://shetrades.com,PRIVE
SIMPLON CI,CENTRE_FORMATION,Ouvert,Simplon Côte d'Ivoire,Formation intensive développeur web/mobile,FORMATION,Côte d'Ivoire,National,Continu,Continu,6 mois,Formation gratuite financée,Variable,NUMERIQUE;EDUCATION,"La formation est ouverte aux jeunes âgés de 18 à 35 ans, résidant en Côte d'Ivoire, ayant un intérêt marqué pour le développement informatique, et souhaitant s'engager dans une formation intensive. Aucun prérequis académique spécifique n'est exigé, mais une bonne maîtrise des bases de l'informatique est un plus.",,https://simplon.ci,PRIVE
YALI RLC,CENTRE_FORMATION,Ouvert,YALI Regional Leadership Centers,Formations en leadership et entrepreneuriat,FORMATION,Côte d'Ivoire,National,Continu,Continu,4-7 semaines,Formation gratuite avec bourse complète,Variable,EDUCATION;IMPACT_SOCIAL,"Être âgé de 18 à 35 ans, être citoyen d'un pays africain, démontrer un intérêt ou une expérience dans le leadership, l'entrepreneuriat ou le développement communautaire, et être disponible pour suivre la formation pendant toute sa durée. Une bonne maîtrise de l'anglais est souvent requise, selon le centre régional.",info@yalirlc.org,https://yali.state.gov,INTERNATIONAL
AFD,ORGANISATION_INTERNATIONALE,Ouvert,Programme DÉFI Jeunes Phase 3,Programme d'employabilité et entrepreneuriat pour jeunes,FORMATION,Côte d'Ivoire,National,Continu,2025,Variable,Formation et accompagnement gratuits,20 000 jeunes,EDUCATION;IMPACT_SOCIAL,"Jeunes âgés de 18 à 35 ans, résidant en Côte d'Ivoire, motivés par une démarche d'insertion professionnelle ou de création d'entreprise, disposant d'un niveau minimum d'études secondaires ou équivalent, et disponibles pour suivre l'intégralité du programme de formation.",defijeunes@afd.fr,https://afd.fr,INTERNATIONAL
BANQUE MONDIALE,ORGANISATION_INTERNATIONALE,Ouvert,Young Professionals Program 2025,Programme de développement professionnel à la Banque Mondiale,FORMATION,Côte d'Ivoire,National,01/09/2025,08/09/2025,12 mois renouvelables jusqu'à 3 ans,Salaire compétitif,Variable,FINANCE;PUBLIC;EDUCATION;IMPACT_SOCIAL,"Les candidats doivent être titulaires d'un diplôme de Master ou équivalent dans un domaine pertinent (économie, finance, gestion, ingénierie, sciences sociales, environnement, etc.). Ils doivent avoir moins de 32 ans au 1er juillet de l'année de candidature, posséder une excellente maîtrise de l'anglais (niveau C1 minimum), et justifier d'une expérience professionnelle pertinente de 2 à 3 ans dans un secteur lié au développement international ou à la finance. La nationalité doit être celle d'un pays membre de la Banque Mondiale, et les candidats doivent démontrer un fort engagement envers les objectifs de développement durable.",ypp@worldbank.org,https://worldbank.org,INTERNATIONAL
MANDELA FELLOW,ORGANISATION_INTERNATIONALE,À venir,Mandela Washington Fellowship 2026,Programme de leadership aux États-Unis,FORMATION,Côte d'Ivoire,National,Septembre 2025,2026,6 semaines,Entièrement pris en charge,700 sélectionnés continent,EDUCATION;IMPACT_SOCIAL;PUBLIC,"Les candidats doivent être âgés de 25 à 35 ans au moment de la candidature, avec une exception possible pour les candidats âgés de 21 à 24 ans présentant des réalisations exceptionnelles en leadership. Ils doivent être citoyens et résidents d'un pays africain, démontrer un engagement clair dans leur communauté ou secteur professionnel, posséder des compétences avancées en anglais (oral et écrit), et être disponibles pour participer à l'ensemble du programme aux États-Unis. Les candidats doivent également avoir une expérience avérée en leadership, que ce soit dans le secteur public, privé ou associatif.",mandelafellowship@state.gov,https://mandelawashingtonfellowship.org,INTERNATIONAL
ONU FEMMES CI,ORGANISATION_INTERNATIONALE,Ouvert,Programme AGRIFED,Soutien aux femmes dans le secteur agricole,FORMATION,Côte d'Ivoire,National,Continu,Jusqu'en 2025,Variable,Formation et équipement,40 000 femmes,AGRICULTURE;IMPACT_SOCIAL,"Être une femme résidant en Côte d'Ivoire, active dans le secteur agricole (production, transformation ou commercialisation), motivée à développer ses compétences agricoles, et engagée dans une activité agricole à titre professionnel ou associatif.",,https://unwomen.org,INTERNATIONAL
ANADER,MINISTERE_AGENCE,Ouvert,Programme de Travail et Budget Annuel (PTBA) 2025,Programme de conseil agricole et appui au développement rural,ASSISTANCE_TECHNIQUE,Côte d'Ivoire,National,Continu,Janvier 2025,1 an,Budget opérationnel annuel,90000+ exploitants,AGRICULTURE,"Exploitants agricoles, groupements, coopératives",,https://www.anader.ci,PUBLIC
Agence Emploi Jeunes (AEJ),MINISTERE_AGENCE,Ouvert,Programme THIMO,Travaux à haute intensité de main d'œuvre,ASSISTANCE_TECHNIQUE,Côte d'Ivoire,National,Continu,Continu,Variable,Rémunération chantiers BTP,8825 jeunes employés,CONSTRUCTION;IMPACT_SOCIAL,"Jeunes âgés de 18 à 35 ans, organisés en coopératives ou groupes structurés, résidant dans la région ciblée par le programme, motivés à s'engager dans des activités génératrices de revenus nécessitant une forte implication manuelle. Les coopératives doivent être officiellement enregistrées ou en cours de formalisation.",,https://agenceemploijeunes.ci,PUBLIC
CEPICI,MINISTERE_AGENCE,Ouvert,Guichet Unique CEPICI,Création entreprise en 48h et accompagnement,ASSISTANCE_TECHNIQUE,Côte d'Ivoire,National,Continu,Continu,48h création,Services administratifs,Illimité,COMMERCE;SERVICES_PRO;PUBLIC,"Ouvert à tous les entrepreneurs, qu'ils soient nationaux ou étrangers, souhaitant créer une entreprise en Côte d'Ivoire. Les porteurs de projets doivent fournir les documents requis tels que pièce d'identité, justificatif de domicile, et un plan d'affaires sommaire si nécessaire.",investissements@cepici.gouv.ci,https://cepici.gouv.ci,PUBLIC
CODINORM,MINISTERE_AGENCE,Ouvert,Programme de Certification et Normalisation PME,"Certification produits, accès normes, accompagnement mise aux normes",ASSISTANCE_TECHNIQUE,Côte d'Ivoire,National,Continu,2016,Permanent,Variable,250+ entreprises certifiées,INDUSTRIE;SERVICES_PRO;EDUCATION,"PME tous secteurs, 305 entreprises adhérentes",info@codinorm.ci,https://www.codinorm.ci,PUBLIC
Ministère de l'Environnement et du Développement Durable,MINISTERE_AGENCE,Ouvert,Coordination Générale des Programmes et Projets (CGPP),"5 programmes nationaux: changements climatiques, gestion déchets, produits chimiques, ressources naturelles, environnement côtier",ASSISTANCE_TECHNIQUE,Côte d'Ivoire,National,Continu,2025,Permanent,Budget ministériel,Variable selon programmes,ENVIRONNEMENT;RESSOURCES;ENERGIE,"Entrepreneurs verts, projets durables",CGPP@environnement.gouv.ci,https://www.environnement.gouv.ci,PUBLIC
OIPI/FONSTI,MINISTERE_AGENCE,Ouvert,Prix de l'Innovation FONSTI 2025,"Concours innovation avec prix 10M, 7.5M, 5M FCFA + incubation",CONCOURS,Côte d'Ivoire,National,Novembre 2025,Avril 2025,8 mois,22.5 millions FCFA total,3 lauréats + mentions,RECHERCHE;NUMERIQUE,"Inventeurs, chercheurs, startups, étudiants tous secteurs",soumission-projet@fonsti.org,https://www.fonsti.org,PUBLIC
AFRICA HEROES,INCUBATEUR_ACCELERATEUR,Ouvert,Africa's Business Heroes 2025,Concours continental Jack Ma Foundation,CONCOURS,Côte d'Ivoire,National,08/06/2025,2025,Annuel,Total 1.5M USD (300 000 USD 1er prix),10 finalistes continent,IMPACT_SOCIAL;NUMERIQUE;EDUCATION;SANTE;AGRICULTURE;COMMERCE,"Le concours est ouvert aux fondateurs ou co-fondateurs d'entreprises basées en Afrique, qui sont citoyens africains. L'entreprise doit être opérationnelle depuis au moins 3 ans et générer des revenus. Les candidats doivent démontrer un impact social ou économique positif, une vision claire pour la croissance future, ainsi qu'une capacité à utiliser les fonds pour accélérer le développement de leur entreprise.",info@africabusinessheroes.org,https://africabusinessheroes.org,INTERNATIONAL
CGECI,INCUBATEUR_ACCELERATEUR,Ouvert,CGECI Academy Business Plan Competition 2025,13ème édition du concours national de business plan avec accompagnement et prix,CONCOURS,Côte d'Ivoire,National,2025-09-20,2025-09-22,2 jours + accompagnement,11M FCFA grand prix + prix sectoriels,Non spécifié,NUMERIQUE;EDUCATION;IMPACT_SOCIAL,"18-40 ans, projet innovant, potentiel croissance",recrutement.prodije@cgeci.ci,https://cgeci.com/,PRIVE
ORANGE POESAM,INCUBATEUR_ACCELERATEUR,Ouvert,Orange Social Venture Prize 2025,Prix pour startups à impact social et environnemental,CONCOURS,Côte d'Ivoire,National,2025,2025,Annuel,20 000 euros prix international femmes,3 projets max/pays,IMPACT_SOCIAL;ENVIRONNEMENT,"Peuvent candidater des startups en phase d'amorçage ou de développement, qu'elles soient technologiques ou traditionnelles, dont l'activité principale a un impact social ou environnemental positif clairement démontré. Les projets doivent être basés en France ou dans les pays où Orange est implanté, avoir une équipe opérationnelle, et présenter un modèle économique viable. Les candidatures sont ouvertes aux startups de tous secteurs, à condition que leur solution ait un effet mesurable sur la société ou l'environnement.",socialventure@orange.com,https://orange.com,PRIVE
WIA INITIATIVE,INCUBATEUR_ACCELERATEUR,Ouvert,Women in Africa Initiative,Programme continental avec summit annuel et financement,CONCOURS,Côte d'Ivoire,National,Annuel,2025,Annuel,Formation + mentorat + financement,54 entrepreneures/an continent,AGRICULTURE;ENERGIE;ENVIRONNEMENT;INDUSTRIE;COMMERCE;NUMERIQUE;SANTE;EDUCATION;IMPACT_SOCIAL,"Le concours est ouvert aux femmes entrepreneures africaines âgées de 18 ans et plus, qui dirigent ou ont un projet entrepreneurial innovant dans n'importe quel secteur d'activité. Les candidates doivent démontrer le potentiel d'impact économique et social de leur projet, ainsi qu'une capacité à développer leur entreprise à l'échelle locale, régionale ou continentale.",,https://wia-initiative.com,PRIVE
OIF,ASSOCIATION_ENTREPRENEURIALE,Ouvert,Prix Jeune Entrepreneur Francophone,Concours annuel entrepreneurs francophones,CONCOURS,Côte d'Ivoire,National,Annuel,2025,Annuel,Financement + accompagnement,Variable,IMPACT_SOCIAL;NUMERIQUE;EDUCATION;ENVIRONNEMENT;SANTE;MEDIAS,"Être âgé de 18 à 35 ans au moment de la candidature, être porteur d'un projet entrepreneurial innovant ou dirigeant une jeune entreprise innovante dans un pays francophone ou à vocation francophone. Le projet doit valoriser la langue française et contribuer positivement au développement économique, social ou environnemental. Les candidats doivent soumettre un dossier complet incluant une description détaillée du projet, un plan d'affaires et des preuves de faisabilité.",jeunentrepreneur@oif.org,https://francophonie.org,INTERNATIONAL
PRIX CASTEL,ASSOCIATION_ENTREPRENEURIALE,Ouvert,Prix Pierre Castel 2025,Prix pour projets agricoles et agroalimentaires,CONCOURS,Côte d'Ivoire,National,2025,2025,Annuel,25 000 euros par pays + 35 000 euros super lauréat,Variable,AGRICULTURE;IMPACT_SOCIAL,"Le concours s'adresse aux jeunes entrepreneurs âgés de 18 à 40 ans, porteurs de projets agricoles ou agroalimentaires en phase de démarrage ou d'expansion. Les projets doivent être localisés dans les pays d'Afrique subsaharienne où le Groupe Castel est présent. Les candidats doivent démontrer l'innovation, la viabilité économique, et l'impact social ou environnemental de leur initiative.",prix.caste@fondationcastel.org,https://fondationpierrecastel.org,PRIVE
HACKATHON MASS,HUB_INNOVATION,À venir,Hackathon pré-MASS 2025,Hackathon TIC et observation de la terre,CONCOURS,Côte d'Ivoire,National,14/04/2025,06-08/05/2025,3 jours,Fonds 500M FCFA pour startups spatiales,Variable,NUMERIQUE;ENVIRONNEMENT;RECHERCHE,"Le concours est ouvert aux étudiants de niveau licence à master, aux développeurs indépendants, aux startups innovantes ainsi qu'aux passionnés de technologies ayant des compétences en programmation, data science, géomatique ou domaines connexes. La participation peut être individuelle ou en équipe de 2 à 5 personnes. Une motivation pour les problématiques liées à l'observation de la Terre et aux TIC est fortement recommandée.",,https://mass.ci,PRIVE
SIADE,HUB_INNOVATION,À venir,SIADE 2025 Hackathon,"Hackathon IA, Défense, Espace",CONCOURS,Côte d'Ivoire,National,Février 2025,20-21/02/2025,2 jours,Prix à déterminer,Variable,NUMERIQUE;SECURITE;RECHERCHE,"Peuvent participer les développeurs individuels, équipes de développeurs, startups technologiques innovantes spécialisées dans l'IA, la défense ou le spatial, ainsi que les étudiants en informatique ou disciplines connexes. Une expérience préalable en programmation, intelligence artificielle ou développement de solutions technologiques est recommandée. La participation est ouverte aux candidats majeurs et résidant en France ou dans l'Union européenne.",,https://siade.ci,PUBLIC
Ministère du Tourisme et des Loisirs,MINISTERE_AGENCE,À venir,SITLA 2025 - Salon International Tourisme et Loisirs Abidjan,Salon avec thème Innovations technologiques facteur développement tourisme,EVENEMENT,Côte d'Ivoire,Abidjan,19-21 septembre 2025,19 septembre 2025,3 jours,Variable,100000 visiteurs attendus,TOURISME;NUMERIQUE,"Professionnels tourisme, startups, investisseurs",info@tourisme.gouv.ci,https://www.tourisme.gouv.ci,PUBLIC
FEEF,ASSOCIATION_ENTREPRENEURIALE,À venir,Forum Emploi Entrepreneuriat Féminin 2025,11e édition forum entrepreneuriat féminin,EVENEMENT,Côte d'Ivoire,National,16-17/05/2025,16-17/05/2025,2 jours,Gratuit,25 000+ participantes historique,IMPACT_SOCIAL;EDUCATION;SERVICES_PRO,"Cet événement s'adresse exclusivement aux femmes entrepreneures, qu'elles soient en phase de création, de développement ou de consolidation de leur entreprise. Sont également éligibles les porteuses de projets entrepreneuriaux féminins et les professionnelles souhaitant s'informer ou s'engager dans l'entrepreneuriat féminin.",,https://feef.ci,PRIVE
FIJE,ASSOCIATION_ENTREPRENEURIALE,À venir,Forum International Jeunesse Entrepreneuriat 2025,Forum sur ZLECAf et opportunités jeunes,EVENEMENT,Côte d'Ivoire,National,12/08/2025,12/08/2025,1 jour,Gratuit,100 jeunes entrepreneurs,COMMERCE;NUMERIQUE;EDUCATION;IMPACT_SOCIAL,"Jeunes entrepreneurs âgés de 18 à 40 ans, membres actifs ou candidats au Club FIGE, ayant un projet entrepreneurial innovant ou une entreprise en phase de développement, résidant dans un pays membre de la ZLECAf, et démontrant un intérêt marqué pour les opportunités offertes par la zone de libre-échange africaine.",,https://www.cnzlecaf.gouv.ci/,PRIVE
GOLDEN IMPACT,ASSOCIATION_ENTREPRENEURIALE,À venir,Golden Impact Forum 2025,Forum stratégie pour booster jeunes entreprises,EVENEMENT,Côte d'Ivoire,National,14/06/2025,14/06/2025,1 jour,Networking et opportunités,Illimité,NUMERIQUE;IMPACT_SOCIAL;EDUCATION;SERVICES_PRO,"Jeunes entrepreneurs âgés de 18 à 35 ans, porteurs de projets ou dirigeants de startups en phase de lancement ou de développement, ainsi que les institutions soutenant l'innovation et l'entrepreneuriat.",,https://www.myplace-events.com/fr/event/golden-impact-6,PRIVE
IVOIRE TECH FORUM,HUB_INNOVATION,À venir,Ivoire Tech Forum 2025,Forum tech avec village startup et concours pitch,EVENEMENT,Côte d'Ivoire,National,Juillet 2025,09-11/07/2025,3 jours,Variable selon concours,50+ startups village,NUMERIQUE,"Sont éligibles les entrepreneurs et porteurs de projets dans le secteur des technologies de l'information et de la communication, résidant en Côte d'Ivoire ou dans la région Afrique de l'Ouest, disposant d'une startup en phase de démarrage ou de développement, et souhaitant présenter leur projet lors du concours de pitch ou exposer dans le village startup.",,https://ivoiretechforum.com,PUBLIC
CEPICI,MINISTERE_AGENCE,Ouvert,Centre de Promotion des Investissements,"Agrément code investissements, facilitation administrative pour investisseurs",PROMOTION,Côte d'Ivoire,National,Continu,Permanent,Permanent,Variable selon projets,Illimité,AGRICULTURE;RESSOURCES;ENERGIE;ENVIRONNEMENT;INDUSTRIE;CONSTRUCTION;TRANSPORT;COMMERCE;FINANCE;NUMERIQUE;MEDIAS;TOURISME;SANTE;EDUCATION;SERVICES_PRO;RECHERCHE;PUBLIC;SECURITE;IMPACT_SOCIAL;SERVICES_PERSO,Investisseurs nationaux et internationaux,investissements@cepici.gouv.ci,https://www.cepici.gouv.ci,PUBLIC
M-Studio,INCUBATEUR_ACCELERATEUR,Ouvert,Programme de co-fondation M-Studio,Startup studio mobile avec investissement et participation opérationnelle,STUDIO,Côte d'Ivoire,Abidjan,Recrutement continu,Variable,12-24 mois,250k€ préseed + 500k€ accompagnement,30 startups d'ici 2026,NUMERIQUE;IMPACT_SOCIAL,"Min 2 co-fondateurs, business model éprouvé, lancement Abidjan",,https://www.mstudio.vc/,PRIVE
