type,statut,nom,description,services,logo_url,tags,pays,region,ville,adresse,longitude,latitude,telephone,email,site_web
COOPERATION_DIASPORA,Diaspora/Privé,225 Business Club,Réseau de professionnels de la diaspora ivoirienne,"[Réseau informel,Plateforme échanges,Mentorat,Co-investissement]",,"[diaspora business,réseau social,mentoring]",France/Canada,Paris/Montréal,Abidjan,-4.0305,5.3364,,225businessclub@gmail.com,
COOPERATION_DIASPORA,Privé,ADECI,Association de la Diaspora Entrepreneuriale,"[Investment facilitation,Knowledge transfer,Mentoring,Business linkages]",,"[diaspora,investissement,mentorat]",Côte d'Ivoire,Lagunes,Abidjan,Abidjan,-4.0305,5.3364,+225 07 00 00 00,contact@adeci.org,https://adeci.org
ORGANISATION_INTERNATIONALE,Bilatéral,USAID,Agence américaine pour le développement,"[AWE women program,YALI youth,MCC 536M USD,Trade hubs]",,"[developpement,usa,commerce]",Côte d'Ivoire,Lagunes,Abidjan,Cocody Riviéra,-3.9700,5.3400,+225 22 49 43 00,usaidci@usaid.gov,https://usaid.gov/cotedivoire
ORGANISATION_INTERNATIONALE,Multilatéral,Délégation Union Européenne,Représentation de l'UE en Côte d'Ivoire,"[100M EUR BNI partnership,Global Gateway,Team Europe,Green Deal]",,"[europe,partenariat,financement]",Côte d'Ivoire,Lagunes,Abidjan,Cocody Ambassades,-3.9850,5.3650,+225 22 48 24 00,delegation-ivory-coast@eeas.europa.eu,https://eeas.europa.eu/cotedivoire
ORGANISATION_INTERNATIONALE,UN,PNUD,Programme des Nations Unies pour le Développement,"[Timbuktoo initiative,Innovation labs,SDGs implementation,Youth programs]",,"[developpement,onu,innovation]",Côte d'Ivoire,Lagunes,Abidjan,Cocody Ambassades,-3.9850,5.3650,+225 20 31 55 00,registry.ci@undp.org,https://undp.org/cotedivoire
ORGANISATION_INTERNATIONALE,UN,OIT,Organisation Internationale du Travail,"[Decent work,Youth employment,Social protection,Skills development]",,"[emploi,travail,formation]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 31 89 00,abidjan@ilo.org,https://ilo.org/cotedivoire
ORGANISATION_INTERNATIONALE,Bilatéral,JICA,Agence Japonaise de Coopération,"[Kaizen productivity,Technical training,Infrastructure,Innovation support]",,"[japon,cooperation,formation]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,+225 22 44 38 88,ci_oso_rep@jica.go.jp,https://jica.go.jp
ORGANISATION_INTERNATIONALE,Multilatéral,BOAD,Banque Ouest Africaine de Développement,"[PME financing,Regional integration,Infrastructure,Green bonds]",,"[developpement,uemoa,financement]",Côte d'Ivoire,Lagunes,Abidjan,Avenue Joseph Anoma,-4.0142,5.3207,+225 20 30 12 44,boadci@boad.org,https://boad.org
ORGANISATION_INTERNATIONALE,Multilatéral,BEI,Banque Européenne d'Investissement,"[Global Gateway,Sustainable finance,Climate action,SME credit lines]",,"[europe,investissement,climat]",Côte d'Ivoire,Lagunes,Abidjan,Via bureau régional,-4.0305,5.3364,+225 20 00 00 00,abidjan@eib.org,https://eib.org
ORGANISATION_INTERNATIONALE,UN,ONUDI,Organisation des Nations Unies pour le Développement Industriel,"[Agribusiness development,Quality infrastructure,Green industry,Technology transfer]",,"[industrie,onu,technologie]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 31 54 00,office.cotedivoire@unido.org,https://unido.org
ASSOCIATION_ENTREPRENEURIALE,Privé,CI20 - Côte d'Ivoire Innovation 20,Patronat des startups ivoiriennes créé en 2021 fédérant les meilleures startups tech du pays,"[Business Club,CI20 CONNECT plateforme,Startup Boost Capital 2 milliards FCFA,Plaidoyer Startup Act,Talent Link avec AEJ]",,"[startup,tech,innovation,patronat]",Côte d'Ivoire,Lagunes,Abidjan,"Maison de l'Entreprise, Plateau",-4.0142,5.3207,,contact@ci20.net,https://www.ci20.net
ASSOCIATION_ENTREPRENEURIALE,Privé,Abidjanaises In Tech,Club d'affaires fédérant 700+ femmes professionnelles du numérique en CI et diaspora,"[Networking femmes tech,Campus Start-ups 20+ startups,Bootcamps formation,Événements CAN tech,Talk-show dirigeantes]",,"[femmes,tech,networking,inclusion]",Côte d'Ivoire,Lagunes,Abidjan,Abidjan,-4.0305,5.3364,,contact@abidjanaisesintech.ci,https://www.abidjanaisesintech.ci
ASSOCIATION_ENTREPRENEURIALE,Réseau régional,Africaines In Tech,Réseau d'expertise tech féminin présent dans 4 pays (CI, Togo, Sénégal, Cameroun),"[Vivier expertes tech,Formation leadership,Networking régional,Mentorat femmes,Opportunités affaires]",,"[femmes,tech,panafricain,expertise]",Côte d'Ivoire/Regional,Afrique de l'Ouest,Abidjan/Lomé/Dakar/Douala,Multivilles,-4.0305,5.3364,,contact@africainesintech.com,https://africainesintech.com
ASSOCIATION_ENTREPRENEURIALE,Privé,Fondation SEPHIS,Fondation créée en 2009 pour l'autonomisation des femmes entrepreneures,"[AWF program accélération,1700+ PME femmes formées,Inclusion financière 10M EUR,FILF forum annuel,Programme Ellever Ecobank]",,"[femmes,entrepreneuriat,formation,financement]",Côte d'Ivoire,Lagunes,Abidjan,"Cocody 9è tranche, Immeuble Derra",-3.9900,5.3500,,info@fondationsephis.org,https://fondationsephis.org
ASSOCIATION_ENTREPRENEURIALE,Privé,JCI Côte d'Ivoire,Jeune Chambre Internationale pour développement personnel 18-40 ans,"[Leadership training,32 chapitres locaux,Formation soft skills,Service communautaire,Réseau international]",,"[jeunesse,leadership,développement personnel]",Côte d'Ivoire,National,National,Plateau,-4.0142,5.3207,+225 07 00 00 00,president@jci-ci.org,https://jci-ci.org
INCUBATEUR_ACCELERATEUR,ONG,Fondation Jeunesse Numérique,Incubateur gouvernemental pour lutter contre chômage jeunes via TIC,"[Incubation startups,Formation numérique,Bootcamps intensifs,Smart Up program,Fab lab accès]",,"[jeunesse,numérique,incubation,emploi]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,,contact@fjn.ci,https://fjn.ci
CENTRE_FORMATION,Privé,DIGI Femmes,Initiative de formation à l'entrepreneuriat et compétences numériques pour femmes,"[Formation digitale femmes,Entrepreneuriat numérique,Compétences tech,Prix innovation 2024]",,"[femmes,digital,formation,innovation]",Côte d'Ivoire,Lagunes,Abidjan,Abidjan,-4.0305,5.3364,,contact@digifemmes.ci,
CENTRE_FORMATION,Privé,StemBlab,Organisation promouvant compétences numériques et innovation technologique,"[Formation STEM,Innovation tech,Education numérique,Prix innovation 2024]",,"[stem,education,innovation,tech]",Côte d'Ivoire,Lagunes,Abidjan,Abidjan,-4.0305,5.3364,,info@stemblab.ci,
CENTRE_FORMATION,Public,Programme GENIE,Initiative gouvernementale créant 35 centres numériques pour emploi jeunes,"[35 centres numériques,Formation compétences digitales,Insertion professionnelle,230M emplois numériques 2030]",,"[gouvernement,emploi,digital,jeunesse]",Côte d'Ivoire,National,National,National,-4.0305,5.3364,,info@genie.gouv.ci,
ORGANISATION_INTERNATIONALE,Public-Privé,Employment4Youth,Projet ONUDI/Allemagne pour emploi jeunes via Industrie 4.0,"[Formation TIC,Agro-industrie 4.0,Nouvelles technologies,Création emplois femmes/jeunes]",,"[emploi,jeunesse,industrie 4.0,coopération]",Côte d'Ivoire,Lagunes,Abidjan,Abidjan,-4.0305,5.3364,,info@employment4youth.ci,
ASSOCIATION_ENTREPRENEURIALE,Privé,Code.ci,Association de développeurs fondée en 2014 par Régis Bamba,"[Fédération développeurs,Open data CI,Solutions socio-économiques,Projets collaboratifs]",,"[développeurs,open data,tech,innovation]",Côte d'Ivoire,Lagunes,Abidjan,Abidjan,-4.0305,5.3364,,contact@code.ci,
HUB_INNOVATION,Privé,VITIB - Village des Technologies,Association promotion écosystème tech et transformation digitale,"[Tech ecosystem,Innovation events,Digital transformation,Business networking]",,"[tech,innovation,digital,écosystème]",Côte d'Ivoire,Lagunes,Abidjan,"Zone 3, Treichville",-4.0050,5.2900,+225 21 00 00 00,contact@vitib.ci,https://vitib.ci
ASSOCIATION_ENTREPRENEURIALE,Privé,AFCI - Association Fintech CI,Association des entreprises fintech de Côte d'Ivoire,"[Plaidoyer régulation,Standards fintech,Innovation financière,Networking secteur]",,"[fintech,innovation,régulation,finance]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 07 00 00 00,info@fintech-ci.org,https://fintech-ci.org
ASSOCIATION_ENTREPRENEURIALE,Privé,REJEC - Réseau des Jeunes Entrepreneurs de CI,Réseau national pour entrepreneuriat jeune,"[Mentorat jeunes,Pitch competitions,Formation entrepreneuriale,Networking national]",,"[jeunesse,entrepreneuriat,mentorat,réseau]",Côte d'Ivoire,National,National,Cocody,-3.9900,5.3500,+225 07 00 00 00,contact@rejec.ci,https://rejec.ci
ASSOCIATION_ENTREPRENEURIALE,Privé,225 Business Club,Réseau diaspora ivoirienne connectant talents expatriés et opportunités CI,"[Réseau diaspora business,Afterworks networking,Webinaires sectoriels,Co-investissement,Mentorat]",,"[diaspora,business,networking,investissement]",France/Canada,Paris/Montréal,Abidjan,International,-4.0305,5.3364,,225businessclub@gmail.com,
INCUBATEUR_ACCELERATEUR,Privé,MStudio VC (Magic Studio),Premier startup studio d'Afrique francophone lancé en 2021,"[Co-création startups,Financement pré-amorçage,Ressources mutualisées,Économie informelle tech]",,"[startup studio,mobile,économie informelle]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,,hello@mstudio.vc,https://www.mstudio.vc
HUB_INNOVATION,Privé,Akendewa Tech Hub,Un des premiers tech hubs communautaires CI depuis 2009,"[Communauté développeurs,Barcamp Abidjan,Open source,Formations coding,Hackathons]",,"[tech community,open source,pionnier]",Côte d'Ivoire,Lagunes,Abidjan,Abidjan,-4.0305,5.3364,+225 07 08 09 10,contact@akendewa.org,http://akendewa.org
HUB_INNOVATION,Communautaire,O'Village,Tiers-lieu innovation sociale et numérique créé en 2014,"[Ubuntu culture,Logiciels libres,Ateliers pratiques,Coding dojos,Projets civiques]",,"[open source,innovation sociale,communauté]",Côte d'Ivoire,Lagunes,Abidjan,Yopougon Niangon,-4.0900,5.3370,,info@ovillage.ci,http://www.ovillage.ci
ESPACE_COWORKING,Association,Baby Lab,Premier FabLab de Côte d'Ivoire créé en 2014 à Abobo,"[FabLab MIT,Formation enfants tech,Robotique,Réparation informatique,Projets communautaires]",,"[fablab,éducation numérique,inclusion]",Côte d'Ivoire,Lagunes,Abidjan,Abobo Derrière-rails,-4.0160,5.4180,,babylab@gmail.com,https://www.fablabs.io/labs/babylab
FONDS_INVESTISSEMENT,International,Digital Africa,Initiative 65M EUR pour soutenir entrepreneuriat tech africain,"[Fuzé funding 20-50K EUR,Plateforme networking,Label Digital Africa,Support incubateurs]",,"[financement,tech,innovation,panafricain]",France/Afrique,International,Abidjan,Via plateforme,-4.0305,5.3364,,contact@digital-africa.co,https://digital-africa.co
INCUBATEUR_ACCELERATEUR,Corporate,Yiri by AGL,Hub innovation logistique créé en 2023 par Africa Global Logistics,"[Accélération 6 mois,Solutions logistiques,Tech laboratory,Digital transformation,Talent catalyst]",,"[logistique,innovation,corporate,supply chain]",Côte d'Ivoire,Lagunes,Abidjan,"Zone Portuaire, Marcory",-4.0000,5.2800,,yiri@aglgroup.com,https://aglgroup.com/innovation
MICROFINANCE,Privé,Programme Fin'Elle (COFINA),Programme dédié entrepreneuriat féminin par COFINA,"[Crédits femmes entrepreneurs,Accompagnement sur mesure,Formation business,Conditions favorables]",,"[femmes,financement,entrepreneuriat,microfinance]",Côte d'Ivoire,Lagunes,Abidjan,"Plateau, Avenue Lamblin",-4.0142,5.3207,+225 27 20 21 60 50,finelle@cofinacorp.com,http://cofinacorp.com
ASSOCIATION_ENTREPRENEURIALE,Privé,ROADCI,Réseau Ouest Africain des Femmes Entrepreneures,"[Leadership femmes,Commerce transfrontalier,Formation business,Mentorat régional]",,"[femmes,commerce,leadership,régional]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,+225 07 00 00 00,cotedivoire@roadci.org,https://roadci.org
ASSOCIATION_ENTREPRENEURIALE,Privé,RICOMEN,Réseau Ivoirien des Commerçantes,"[Commerce femmes,Microfinance access,Formation commerce,Plaidoyer genre]",,"[femmes,commerce,microfinance,réseau]",Côte d'Ivoire,National,National,Adjamé,-4.0260,5.3360,+225 07 00 00 00,ricomen@gmail.com,
ASSOCIATION_ENTREPRENEURIALE,Privé,AFEM-CI,Association Femmes Entrepreneures et des Métiers,"[Formation métiers,Autonomisation femmes,Microfinance,Entrepreneuriat féminin]",,"[femmes,métiers,formation,autonomisation]",Côte d'Ivoire,National,National,Yopougon,-4.0900,5.3370,+225 23 00 00 00,afem@femmes-entrepreneurs.ci,
